Model,MSO44
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH2,,Channel,MATH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09,,Sample Interval,8.00000000e-09
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,353.84062500,,Zero Index,353.84062500,,Zero Index,353.84062500,,Zero Index,353.84062500,,Zero Index,353.84062500,,Zero Index,353.84062500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH2,,TIME,MATH3
-2.83072500e-06,5.78125000e-04,9.38593750e-03,9.62187500e-03,9.68750000e-03,,-2.83072500e-06,-8.96519236e-03,,-2.83072500e-06,nan
-2.82272500e-06,4.45312500e-04,1.00687500e-02,1.02906250e-02,1.08593750e-02,,-2.82272500e-06,-9.09800455e-03,,-2.82272500e-06,nan
-2.81472500e-06,2.50000000e-04,1.11953125e-02,9.83750000e-03,1.11718750e-02,,-2.81472500e-06,-9.29331686e-03,,-2.81472500e-06,nan
-2.80672500e-06,8.90625000e-04,1.22125000e-02,8.97187500e-03,1.54687500e-02,,-2.80672500e-06,-8.65269173e-03,,-2.80672500e-06,nan
-2.79872500e-06,5.70312500e-04,1.25968750e-02,8.40937500e-03,1.41406250e-02,,-2.79872500e-06,-8.97300430e-03,,-2.79872500e-06,nan
-2.79072500e-06,8.04687500e-04,1.25359375e-02,8.68125000e-03,1.49218750e-02,,-2.79072500e-06,-8.73862952e-03,,-2.79072500e-06,nan
-2.78272500e-06,1.57031250e-03,1.27625000e-02,9.96250000e-03,1.16406250e-02,,-2.78272500e-06,-7.97300413e-03,,-2.78272500e-06,nan
-2.77472500e-06,2.21875000e-03,1.30656250e-02,1.16093750e-02,1.25000000e-02,,-2.77472500e-06,-7.32456706e-03,,-2.77472500e-06,nan
-2.76672500e-06,3.32031250e-03,1.32312500e-02,1.28750000e-02,1.13281250e-02,,-2.76672500e-06,-6.22300431e-03,,-2.76672500e-06,nan
-2.75872500e-06,3.29687500e-03,1.32312500e-02,1.29937500e-02,7.10937500e-03,,-2.75872500e-06,-6.24644198e-03,,-2.75872500e-06,nan
-2.75072500e-06,2.31250000e-03,1.36390625e-02,1.22593750e-02,1.20312500e-02,,-2.75072500e-06,-7.23081687e-03,,-2.75072500e-06,nan
-2.74272500e-06,1.22656250e-03,1.41609375e-02,1.14500000e-02,1.15625000e-02,,-2.74272500e-06,-8.31675436e-03,,-2.74272500e-06,nan
-2.73472500e-06,2.10937500e-04,1.46234375e-02,1.09343750e-02,1.30468750e-02,,-2.73472500e-06,-9.33237933e-03,,-2.73472500e-06,nan
-2.72672500e-06,-2.57812500e-04,1.49000000e-02,1.10562500e-02,1.06250000e-02,,-2.72672500e-06,-9.80112981e-03,,-2.72672500e-06,nan
-2.71872500e-06,-4.14062500e-04,1.54140625e-02,1.21562500e-02,3.59375000e-03,,-2.71872500e-06,-9.95737966e-03,,-2.71872500e-06,nan
-2.71072500e-06,-1.01562500e-04,1.60796875e-02,1.40093750e-02,1.87500000e-03,,-2.71072500e-06,-9.64487903e-03,,-2.71072500e-06,nan
-2.70272500e-06,1.49218750e-03,1.62734375e-02,1.50281250e-02,3.59375000e-03,,-2.70272500e-06,-8.05112906e-03,,-2.70272500e-06,nan
-2.69472500e-06,1.60156250e-03,1.59281250e-02,1.46375000e-02,7.73437500e-03,,-2.69472500e-06,-7.94175453e-03,,-2.69472500e-06,nan
-2.68672500e-06,1.41406250e-03,1.53031250e-02,1.26812500e-02,8.20312500e-03,,-2.68672500e-06,-8.12925491e-03,,-2.68672500e-06,nan
-2.67872500e-06,1.33593750e-03,1.47015625e-02,1.10500000e-02,8.04687500e-03,,-2.67872500e-06,-8.20737984e-03,,-2.67872500e-06,nan
-2.67072500e-06,1.11718750e-03,1.36687500e-02,1.03437500e-02,7.81250000e-03,,-2.67072500e-06,-8.42612982e-03,,-2.67072500e-06,nan
-2.66272500e-06,5.62500000e-04,1.24562500e-02,9.99062500e-03,1.43750000e-02,,-2.66272500e-06,-8.98081716e-03,,-2.66272500e-06,nan
-2.65472500e-06,-6.32812500e-04,1.06500000e-02,1.09968750e-02,1.00781250e-02,,-2.65472500e-06,-1.01761296e-02,,-2.65472500e-06,nan
-2.64672500e-06,-1.51562500e-03,8.75781250e-03,1.17718750e-02,9.37500000e-03,,-2.64672500e-06,-1.10589424e-02,,-2.64672500e-06,nan
-2.63872500e-06,-2.42187500e-03,7.77187500e-03,1.14593750e-02,6.95312500e-03,,-2.63872500e-06,-1.19651919e-02,,-2.63872500e-06,nan
-2.63072500e-06,-3.20312500e-03,7.81250000e-03,1.04250000e-02,8.90625000e-03,,-2.63072500e-06,-1.27464421e-02,,-2.63072500e-06,nan
-2.62272500e-06,-3.53906250e-03,8.10781250e-03,8.91562500e-03,6.64062500e-03,,-2.62272500e-06,-1.30823795e-02,,-2.62272500e-06,nan
-2.61472500e-06,-4.22656250e-03,7.97031250e-03,8.42812500e-03,1.18750000e-02,,-2.61472500e-06,-1.37698799e-02,,-2.61472500e-06,nan
-2.60672500e-06,-4.09375000e-03,7.95625000e-03,8.66250000e-03,9.14062500e-03,,-2.60672500e-06,-1.36370668e-02,,-2.60672500e-06,nan
-2.59872500e-06,-4.35156250e-03,7.78750000e-03,9.27500000e-03,1.05468750e-02,,-2.59872500e-06,-1.38948793e-02,,-2.59872500e-06,nan
-2.59072500e-06,-4.17968750e-03,7.30468750e-03,9.65000000e-03,1.21093750e-02,,-2.59072500e-06,-1.37230046e-02,,-2.59072500e-06,nan
-2.58272500e-06,-3.67187500e-03,6.47500000e-03,9.32812500e-03,3.51562500e-03,,-2.58272500e-06,-1.32151917e-02,,-2.58272500e-06,nan
-2.57472500e-06,-2.90625000e-03,5.66250000e-03,7.60625000e-03,8.51562500e-03,,-2.57472500e-06,-1.24495672e-02,,-2.57472500e-06,nan
-2.56672500e-06,-2.09375000e-03,5.28437500e-03,5.72500000e-03,9.06250000e-03,,-2.56672500e-06,-1.16370674e-02,,-2.56672500e-06,nan
-2.55872500e-06,-1.60937500e-03,5.64531250e-03,4.46562500e-03,1.21875000e-02,,-2.55872500e-06,-1.11526921e-02,,-2.55872500e-06,nan
-2.55072500e-06,-5.62500000e-04,6.54062500e-03,4.08750000e-03,1.57812500e-02,,-2.55072500e-06,-1.01058166e-02,,-2.55072500e-06,nan
-2.54272500e-06,-5.31250000e-04,7.40625000e-03,4.49375000e-03,1.55468750e-02,,-2.54272500e-06,-1.00745670e-02,,-2.54272500e-06,nan
-2.53472500e-06,5.46875000e-04,7.89375000e-03,5.36562500e-03,1.35937500e-02,,-2.53472500e-06,-8.99644196e-03,,-2.53472500e-06,nan
-2.52672500e-06,6.48437500e-04,8.10625000e-03,6.28125000e-03,7.50000000e-03,,-2.52672500e-06,-8.89487937e-03,,-2.52672500e-06,nan
-2.51872500e-06,8.51562500e-04,8.15781250e-03,6.40000000e-03,1.07031250e-02,,-2.51872500e-06,-8.69175419e-03,,-2.51872500e-06,nan
-2.51072500e-06,3.82812500e-04,8.51718750e-03,5.31250000e-03,2.89062500e-03,,-2.51072500e-06,-9.16050468e-03,,-2.51072500e-06,nan
-2.50272500e-06,1.56250000e-04,8.60468750e-03,4.48437500e-03,9.76562500e-03,,-2.50272500e-06,-9.38706659e-03,,-2.50272500e-06,nan
-2.49472500e-06,7.81250000e-06,8.49218750e-03,3.84687500e-03,9.84375000e-03,,-2.49472500e-06,-9.53550451e-03,,-2.49472500e-06,nan
-2.48672500e-06,-7.81250000e-06,8.65781250e-03,3.49375000e-03,8.43750000e-03,,-2.48672500e-06,-9.55112930e-03,,-2.48672500e-06,nan
-2.47872500e-06,-1.95312500e-04,9.02656250e-03,4.13437500e-03,7.96875000e-03,,-2.47872500e-06,-9.73862968e-03,,-2.47872500e-06,nan
-2.47072500e-06,-3.82812500e-04,9.55312500e-03,5.09687500e-03,5.54687500e-03,,-2.47072500e-06,-9.92612913e-03,,-2.47072500e-06,nan
-2.46272500e-06,-5.07812500e-04,1.02578125e-02,5.87812500e-03,7.65625000e-03,,-2.46272500e-06,-1.00511294e-02,,-2.46272500e-06,nan
-2.45472500e-06,-4.92187500e-04,1.05906250e-02,6.17812500e-03,1.14062500e-02,,-2.45472500e-06,-1.00355046e-02,,-2.45472500e-06,nan
-2.44672500e-06,-3.35937500e-04,1.05312500e-02,6.05312500e-03,1.04687500e-02,,-2.44672500e-06,-9.87925474e-03,,-2.44672500e-06,nan
-2.43872500e-06,5.46875000e-04,1.06890625e-02,6.46875000e-03,8.51562500e-03,,-2.43872500e-06,-8.99644196e-03,,-2.43872500e-06,nan
-2.43072500e-06,-2.10937500e-04,1.11453125e-02,7.89687500e-03,1.15625000e-02,,-2.43072500e-06,-9.75425448e-03,,-2.43072500e-06,nan
-2.42272500e-06,8.82812500e-04,1.15984375e-02,9.73125000e-03,1.37500000e-02,,-2.42272500e-06,-8.66050459e-03,,-2.42272500e-06,-8.91004503e-03
-2.41472500e-06,2.07031250e-03,1.18593750e-02,1.15125000e-02,9.84375000e-03,,-2.41472500e-06,-7.47300452e-03,,-2.41472500e-06,-8.44614115e-03
-2.40672500e-06,2.10937500e-03,1.20500000e-02,1.22656250e-02,9.76562500e-03,,-2.40672500e-06,-7.43394205e-03,,-2.40672500e-06,-7.88893364e-03
-2.39872500e-06,2.64062500e-03,1.21000000e-02,1.20125000e-02,1.07812500e-02,,-2.39872500e-06,-6.90269191e-03,,-2.39872500e-06,-7.26315333e-03
-2.39072500e-06,3.18750000e-03,1.22171875e-02,1.13343750e-02,1.23437500e-02,,-2.39072500e-06,-6.35581696e-03,,-2.39072500e-06,-6.59876084e-03
-2.38272500e-06,4.39843750e-03,1.24578125e-02,1.04250000e-02,1.21875000e-02,,-2.38272500e-06,-5.14487969e-03,,-2.38272500e-06,-5.93011314e-03
-2.37472500e-06,4.71875000e-03,1.29359375e-02,9.53750000e-03,1.28125000e-02,,-2.37472500e-06,-4.82456712e-03,,-2.37472500e-06,-5.29202120e-03
-2.36672500e-06,5.08593750e-03,1.31187500e-02,9.22500000e-03,1.38281250e-02,,-2.36672500e-06,-4.45737969e-03,,-2.36672500e-06,-4.71968902e-03
-2.35872500e-06,5.17187500e-03,1.29593750e-02,9.55937500e-03,1.42968750e-02,,-2.35872500e-06,-4.37144190e-03,,-2.35872500e-06,-4.24461719e-03
-2.35072500e-06,5.57031250e-03,1.31140625e-02,1.00031250e-02,1.33593750e-02,,-2.35072500e-06,-3.97300441e-03,,-2.35072500e-06,-3.89179005e-03
-2.34272500e-06,6.06250000e-03,1.33718750e-02,1.02656250e-02,1.21093750e-02,,-2.34272500e-06,-3.48081696e-03,,-2.34272500e-06,-3.68005689e-03
-2.33472500e-06,6.07031250e-03,1.31078125e-02,9.98437500e-03,1.64843750e-02,,-2.33472500e-06,-3.47300456e-03,,-2.33472500e-06,-3.62021709e-03
-2.32672500e-06,6.11718750e-03,1.24609375e-02,9.66562500e-03,1.31250000e-02,,-2.32672500e-06,-3.42612946e-03,,-2.32672500e-06,-3.71473818e-03
-2.31872500e-06,5.60156250e-03,1.18156250e-02,9.08125000e-03,1.45312500e-02,,-2.31872500e-06,-3.94175434e-03,,-2.31872500e-06,-3.95699032e-03
-2.31072500e-06,4.94531250e-03,1.13687500e-02,8.77187500e-03,1.57812500e-02,,-2.31072500e-06,-4.59800428e-03,,-2.31072500e-06,-4.33220807e-03
-2.30272500e-06,4.39843750e-03,1.12375000e-02,9.20312500e-03,1.88281250e-02,,-2.30272500e-06,-5.14487969e-03,,-2.30272500e-06,-4.81967209e-03
-2.29472500e-06,3.26562500e-03,1.06968750e-02,1.04375000e-02,1.06250000e-02,,-2.29472500e-06,-6.27769204e-03,,-2.29472500e-06,-5.39494585e-03
-2.28672500e-06,2.19531250e-03,1.05640625e-02,1.12937500e-02,1.05468750e-02,,-2.28672500e-06,-7.34800426e-03,,-2.28672500e-06,-6.03077468e-03
-2.27872500e-06,2.35156250e-03,1.06796875e-02,1.17843750e-02,7.50000000e-03,,-2.27872500e-06,-7.19175441e-03,,-2.27872500e-06,-6.69986382e-03
-2.27072500e-06,2.53906250e-03,1.12062500e-02,1.14312500e-02,4.60937500e-03,,-2.27072500e-06,-7.00425450e-03,,-2.27072500e-06,-7.37518445e-03
-2.26272500e-06,2.15625000e-03,1.15359375e-02,1.10656250e-02,9.60937500e-03,,-2.26272500e-06,-7.38706719e-03,,-2.26272500e-06,-8.03253148e-03
-2.25472500e-06,1.04687500e-03,1.12921875e-02,1.04281250e-02,8.90625000e-03,,-2.25472500e-06,-8.49644188e-03,,-2.25472500e-06,-8.65299907e-03
-2.24672500e-06,-2.89062500e-04,1.02140625e-02,9.55937500e-03,8.75000000e-03,,-2.24672500e-06,-9.83237941e-03,,-2.24672500e-06,-9.22339875e-03
-2.23872500e-06,-1.08593750e-03,9.32343750e-03,9.15625000e-03,9.92187500e-03,,-2.23872500e-06,-1.06292544e-02,,-2.23872500e-06,-9.73546971e-03
-2.23072500e-06,-1.05468750e-03,9.48750000e-03,9.88125000e-03,8.28125000e-03,,-2.23072500e-06,-1.05980048e-02,,-2.23072500e-06,-1.01866098e-02
-2.22272500e-06,-1.04687500e-03,1.05343750e-02,1.03031250e-02,9.76562500e-03,,-2.22272500e-06,-1.05901919e-02,,-2.22272500e-06,-1.05798040e-02
-2.21472500e-06,-7.89062500e-04,1.12125000e-02,1.00250000e-02,8.90625000e-03,,-2.21472500e-06,-1.03323795e-02,,-2.21472500e-06,-1.09223677e-02
-2.20672500e-06,-1.71093750e-03,1.09984375e-02,8.29375000e-03,9.06250000e-03,,-2.20672500e-06,-1.12542547e-02,,-2.20672500e-06,-1.12239458e-02
-2.19872500e-06,-2.96875000e-03,1.00953125e-02,6.86250000e-03,9.14062500e-03,,-2.19872500e-06,-1.25120673e-02,,-2.19872500e-06,-1.14955436e-02
-2.19072500e-06,-3.55468750e-03,8.95781250e-03,6.27187500e-03,5.00000000e-03,,-2.19072500e-06,-1.30980043e-02,,-2.19072500e-06,-1.17478464e-02
-2.18272500e-06,-3.17187500e-03,8.39375000e-03,7.45937500e-03,7.81250000e-03,,-2.18272500e-06,-1.27151916e-02,,-2.18272500e-06,-1.19897118e-02
-2.17472500e-06,-3.02343750e-03,8.72343750e-03,9.79375000e-03,4.37500000e-03,,-2.17472500e-06,-1.25667546e-02,,-2.17472500e-06,-1.22265201e-02
-2.16672500e-06,-2.10156250e-03,9.08750000e-03,1.19531250e-02,4.92187500e-03,,-2.16672500e-06,-1.16448794e-02,,-2.16672500e-06,-1.24595258e-02
-2.15872500e-06,-1.83593750e-03,9.19843750e-03,1.26968750e-02,2.50000000e-03,,-2.15872500e-06,-1.13792541e-02,,-2.15872500e-06,-1.26866670e-02
-2.15072500e-06,-1.86718750e-03,8.40937500e-03,1.19468750e-02,3.20312500e-03,,-2.15072500e-06,-1.14105046e-02,,-2.15072500e-06,-1.29017839e-02
-2.14272500e-06,-3.01562500e-03,7.47812500e-03,1.07093750e-02,1.32812500e-03,,-2.14272500e-06,-1.25589417e-02,,-2.14272500e-06,-1.30954552e-02
-2.13472500e-06,-3.85937500e-03,7.16562500e-03,9.87500000e-03,1.04687500e-02,,-2.13472500e-06,-1.34026920e-02,,-2.13472500e-06,-1.32557498e-02
-2.12672500e-06,-3.98437500e-03,7.67031250e-03,1.06000000e-02,9.45312500e-03,,-2.12672500e-06,-1.35276923e-02,,-2.12672500e-06,-1.33705037e-02
-2.11872500e-06,-3.89062500e-03,9.23750000e-03,1.21312500e-02,1.56250000e-03,,-2.11872500e-06,-1.34339416e-02,,-2.11872500e-06,-1.34276524e-02
-2.11072500e-06,-3.80468750e-03,9.65625000e-03,1.28593750e-02,1.21875000e-02,,-2.11072500e-06,-1.33480048e-02,,-2.11072500e-06,-1.34181157e-02
-2.10272500e-06,-4.13281250e-03,8.81406250e-03,1.22312500e-02,4.45312500e-03,,-2.10272500e-06,-1.36761293e-02,,-2.10272500e-06,-1.33366333e-02
-2.09472500e-06,-4.78125000e-03,7.91250000e-03,9.81562500e-03,6.25000000e-04,,-2.09472500e-06,-1.43245673e-02,,-2.09472500e-06,-1.31828189e-02
-2.08672500e-06,-5.48437500e-03,7.33281250e-03,7.56562500e-03,-1.40625000e-03,,-2.08672500e-06,-1.50276916e-02,,-2.08672500e-06,-1.29603455e-02
-2.07872500e-06,-5.34375000e-03,7.36562500e-03,7.25312500e-03,5.62500000e-03,,-2.07872500e-06,-1.48870666e-02,,-2.07872500e-06,-1.26769068e-02
-2.07072500e-06,-3.22656250e-03,7.74375000e-03,7.83437500e-03,8.04687500e-03,,-2.07072500e-06,-1.27698798e-02,,-2.07072500e-06,-1.23448009e-02
-2.06272500e-06,-3.75000000e-04,8.85312500e-03,7.78125000e-03,1.30468750e-02,,-2.06272500e-06,-9.91831720e-03,,-2.06272500e-06,-1.19797634e-02
-2.05472500e-06,6.56250000e-04,8.83125000e-03,6.93125000e-03,2.50000000e-03,,-2.05472500e-06,-8.88706744e-03,,-2.05472500e-06,-1.15987407e-02
-2.04672500e-06,-9.29687500e-04,7.14062500e-03,5.97187500e-03,1.95312500e-03,,-2.04672500e-06,-1.04730045e-02,,-2.04672500e-06,-1.12179043e-02
-2.03872500e-06,-2.01562500e-03,7.17187500e-03,5.94062500e-03,8.51562500e-03,,-2.03872500e-06,-1.15589416e-02,,-2.03872500e-06,-1.08515033e-02
-2.03072500e-06,-2.03125000e-04,1.02796875e-02,6.45625000e-03,8.43750000e-03,,-2.03072500e-06,-9.74644162e-03,,-2.03072500e-06,-1.05105862e-02
-2.02272500e-06,1.82812500e-03,1.29265625e-02,7.23437500e-03,9.21875000e-03,,-2.02272500e-06,-7.71519216e-03,,-2.02272500e-06,-1.02021834e-02
-2.01472500e-06,1.67187500e-03,1.18062500e-02,6.59375000e-03,1.03125000e-02,,-2.01472500e-06,-7.87144154e-03,,-2.01472500e-06,-9.92957223e-03
-2.00672500e-06,-1.26562500e-03,9.47500000e-03,5.23125000e-03,1.22656250e-02,,-2.00672500e-06,-1.08089419e-02,,-2.00672500e-06,-9.69132595e-03
-1.99872500e-06,-7.18750000e-04,9.68437500e-03,5.91562500e-03,6.79687500e-03,,-1.99872500e-06,-1.02620674e-02,,-1.99872500e-06,-9.48338676e-03
-1.99072500e-06,3.12500000e-05,1.12109375e-02,7.83125000e-03,1.12500000e-02,,-1.99072500e-06,-9.51206684e-03,,-1.99072500e-06,-9.29993577e-03
-1.98272500e-06,4.76562500e-04,1.21093750e-02,1.00718750e-02,9.45312500e-03,,-1.98272500e-06,-9.06675402e-03,,-1.98272500e-06,-9.13441833e-03
-1.97472500e-06,-1.00000000e-03,1.25859375e-02,1.12406250e-02,1.23437500e-02,,-1.97472500e-06,-1.05433166e-02,,-1.97472500e-06,-8.98175966e-03
-1.96672500e-06,-2.34375000e-05,1.30187500e-02,1.05500000e-02,1.51562500e-02,,-1.96672500e-06,-9.56675410e-03,,-1.96672500e-06,-8.83966777e-03
-1.95872500e-06,1.34375000e-03,1.24578125e-02,9.28750000e-03,1.19531250e-02,,-1.95872500e-06,-8.19956698e-03,,-1.95872500e-06,-8.70907027e-03
-1.95072500e-06,6.01562500e-04,1.09703125e-02,8.22500000e-03,1.17968750e-02,,-1.95072500e-06,-8.94175470e-03,,-1.95072500e-06,-8.59379955e-03
-1.94272500e-06,-1.64062500e-04,1.05296875e-02,8.98125000e-03,1.12500000e-02,,-1.94272500e-06,-9.70737915e-03,,-1.94272500e-06,-8.50084890e-03
-1.93472500e-06,-2.96875000e-04,1.13937500e-02,1.07312500e-02,1.00781250e-02,,-1.93472500e-06,-9.84019227e-03,,-1.93472500e-06,-8.43949337e-03
-1.92672500e-06,1.52343750e-03,1.27984375e-02,1.21000000e-02,1.29687500e-02,,-1.92672500e-06,-8.01987946e-03,,-1.92672500e-06,-8.42073187e-03
-1.91872500e-06,2.75000000e-03,1.40578125e-02,1.21031250e-02,9.29687500e-03,,-1.91872500e-06,-6.79331692e-03,,-1.91872500e-06,-8.45525973e-03
-1.91072500e-06,2.12500000e-03,1.40031250e-02,1.13281250e-02,9.14062500e-03,,-1.91072500e-06,-7.41831679e-03,,-1.91072500e-06,-8.55121668e-03
-1.90272500e-06,4.92187500e-04,1.18203125e-02,1.09031250e-02,6.09375000e-03,,-1.90272500e-06,-9.05112922e-03,,-1.90272500e-06,-8.71207844e-03
-1.89472500e-06,3.35937500e-04,9.74843750e-03,1.05125000e-02,9.92187500e-03,,-1.89472500e-06,-9.20737907e-03,,-1.89472500e-06,-8.93583614e-03
-1.88672500e-06,1.03906250e-03,1.05625000e-02,1.03250000e-02,5.62500000e-03,,-1.88672500e-06,-8.50425474e-03,,-1.88672500e-06,-9.21365339e-03
-1.87872500e-06,1.69531250e-03,1.23046875e-02,1.13375000e-02,7.03125000e-03,,-1.87872500e-06,-7.84800481e-03,,-1.87872500e-06,-9.52997990e-03
-1.87072500e-06,7.50000000e-04,1.16484375e-02,1.25312500e-02,5.46875000e-03,,-1.87072500e-06,-8.79331678e-03,,-1.87072500e-06,-9.86333564e-03
-1.86272500e-06,-1.46093750e-03,9.57812500e-03,1.14750000e-02,3.90625000e-03,,-1.86272500e-06,-1.10042542e-02,,-1.86272500e-06,-1.01875225e-02
-1.85472500e-06,-2.29687500e-03,8.96093750e-03,8.51562500e-03,4.60937500e-03,,-1.85472500e-06,-1.18401917e-02,,-1.85472500e-06,-1.04745766e-02
-1.84672500e-06,-1.25781250e-03,9.38437500e-03,7.32187500e-03,5.07812500e-03,,-1.84672500e-06,-1.08011290e-02,,-1.84672500e-06,-1.06966142e-02
-1.83872500e-06,-1.53125000e-03,9.34375000e-03,7.73750000e-03,1.17968750e-02,,-1.83872500e-06,-1.10745672e-02,,-1.83872500e-06,-1.08292233e-02
-1.83072500e-06,-2.14843750e-03,9.22656250e-03,8.14062500e-03,1.07031250e-02,,-1.83072500e-06,-1.16917547e-02,,-1.83072500e-06,-1.08539816e-02
-1.82272500e-06,-2.20312500e-03,9.57031250e-03,7.97812500e-03,1.53125000e-02,,-1.82272500e-06,-1.17464419e-02,,-1.82272500e-06,-1.07606491e-02
-1.81472500e-06,-1.23437500e-03,9.95781250e-03,7.55625000e-03,8.04687500e-03,,-1.81472500e-06,-1.07776923e-02,,-1.81472500e-06,-1.05480654e-02
-1.80672500e-06,-5.93750000e-04,9.57187500e-03,7.93125000e-03,7.96875000e-03,,-1.80672500e-06,-1.01370672e-02,,-1.80672500e-06,-1.02262227e-02
-1.79872500e-06,-4.29687500e-04,9.11093750e-03,8.36250000e-03,8.12500000e-03,,-1.79872500e-06,-9.97300446e-03,,-1.79872500e-06,-9.81564634e-03
-1.79072500e-06,6.25000000e-04,9.69062500e-03,8.50937500e-03,5.07812500e-03,,-1.79072500e-06,-8.91831703e-03,,-1.79072500e-06,-9.34674218e-03
-1.78272500e-06,1.47656250e-03,1.09718750e-02,8.79375000e-03,7.96875000e-03,,-1.78272500e-06,-8.06675479e-03,,-1.78272500e-06,-8.85673892e-03
-1.77472500e-06,1.85937500e-03,1.21140625e-02,8.82187500e-03,6.64062500e-03,,-1.77472500e-06,-7.68394209e-03,,-1.77472500e-06,-8.38614441e-03
-1.76672500e-06,1.03906250e-03,1.25796875e-02,8.76562500e-03,1.45312500e-02,,-1.76672500e-06,-8.50425474e-03,,-1.76672500e-06,-7.97572639e-03
-1.75872500e-06,1.60156250e-03,1.30562500e-02,8.81562500e-03,1.16406250e-02,,-1.75872500e-06,-7.94175453e-03,,-1.75872500e-06,-7.66264182e-03
-1.75072500e-06,2.46093750e-03,1.38281250e-02,9.94375000e-03,6.25000000e-03,,-1.75072500e-06,-7.08237942e-03,,-1.75072500e-06,-7.47683784e-03
-1.74272500e-06,3.13281250e-03,1.45906250e-02,1.19125000e-02,7.57812500e-03,,-1.74272500e-06,-6.41050469e-03,,-1.74272500e-06,-7.43905455e-03
-1.73472500e-06,3.21093750e-03,1.47078125e-02,1.22343750e-02,1.05468750e-02,,-1.73472500e-06,-6.33237930e-03,,-1.73472500e-06,-7.55737722e-03
-1.72672500e-06,2.81250000e-03,1.39218750e-02,1.12218750e-02,1.28125000e-02,,-1.72672500e-06,-6.73081679e-03,,-1.72672500e-06,-7.82702956e-03
-1.71872500e-06,1.60156250e-03,1.30546875e-02,9.50625000e-03,9.60937500e-03,,-1.71872500e-06,-7.94175453e-03,,-1.71872500e-06,-8.22933763e-03
-1.71072500e-06,-2.50000000e-04,1.27390625e-02,9.01562500e-03,1.56250000e-02,,-1.71072500e-06,-9.79331695e-03,,-1.71072500e-06,-8.73340387e-03
-1.70272500e-06,-1.04687500e-03,1.37734375e-02,1.06937500e-02,1.01562500e-02,,-1.70272500e-06,-1.05901919e-02,,-1.70272500e-06,-9.29919630e-03
-1.69472500e-06,-5.46875000e-04,1.49750000e-02,1.22593750e-02,1.39843750e-02,,-1.69472500e-06,-1.00901918e-02,,-1.69472500e-06,-9.88071971e-03
-1.68672500e-06,-3.90625000e-04,1.53203125e-02,1.22187500e-02,5.39062500e-03,,-1.68672500e-06,-9.93394200e-03,,-1.68672500e-06,-1.04294429e-02
-1.67872500e-06,-2.38281250e-03,1.42953125e-02,1.10093750e-02,2.73437500e-03,,-1.67872500e-06,-1.19261295e-02,,-1.67872500e-06,-1.08986255e-02
-1.67072500e-06,-4.00000000e-03,1.29062500e-02,9.59375000e-03,7.18750000e-03,,-1.67072500e-06,-1.35433171e-02,,-1.67072500e-06,-1.12472260e-02
-1.66272500e-06,-3.75000000e-03,1.21187500e-02,8.23750000e-03,1.00000000e-02,,-1.66272500e-06,-1.32933166e-02,,-1.66272500e-06,-1.14420652e-02
-1.65472500e-06,-2.20312500e-03,1.22671875e-02,7.14687500e-03,1.27343750e-02,,-1.65472500e-06,-1.17464419e-02,,-1.65472500e-06,-1.14617990e-02
-1.64672500e-06,-9.21875000e-04,1.25984375e-02,7.14687500e-03,7.26562500e-03,,-1.64672500e-06,-1.04651917e-02,,-1.64672500e-06,-1.12991054e-02
-1.63872500e-06,9.37500000e-05,1.21015625e-02,8.15625000e-03,1.20312500e-02,,-1.63872500e-06,-9.44956671e-03,,-1.63872500e-06,-1.09613864e-02
-1.63072500e-06,7.18750000e-04,1.03828125e-02,8.40000000e-03,6.17187500e-03,,-1.63072500e-06,-8.82456731e-03,,-1.63072500e-06,-1.04691954e-02
-1.62272500e-06,1.28906250e-03,8.27031250e-03,7.70625000e-03,1.17187500e-03,,-1.62272500e-06,-8.25425424e-03,,-1.62272500e-06,-9.85394139e-03
-1.61472500e-06,1.30468750e-03,6.63750000e-03,7.68750000e-03,3.35937500e-03,,-1.61472500e-06,-8.23862944e-03,,-1.61472500e-06,-9.15523898e-03
-1.60672500e-06,1.75000000e-03,6.95781250e-03,8.54375000e-03,5.78125000e-03,,-1.60672500e-06,-7.79331708e-03,,-1.60672500e-06,-8.41967016e-03
-1.59872500e-06,2.10156250e-03,7.99687500e-03,8.98125000e-03,1.22656250e-02,,-1.59872500e-06,-7.44175445e-03,,-1.59872500e-06,-7.69708352e-03
